arrived_at,num_prefill_tokens,num_decode_tokens
1.6279402668525327,62,671
2.056498969459397,110,367
3.115795575297436,103,200
4.837385965176137,289,63
5.858169252487166,197,25
7.866331869576305,174,144
8.334968820091436,66,540
9.699261773607809,355,6
11.068377691707301,56,108
12.583543330628412,492,5
12.716457681176585,91,246
15.571885844655416,291,145
16.801589577889743,593,206
17.600019547337578,150,120
18.17247749079534,290,303
19.589312955094314,124,561
21.010077498312487,234,248
22.12723074673328,189,259
23.09179399888312,397,611
23.736871271230598,740,6
24.267440514311684,211,477
25.931240797474803,69,159
25.99251335982903,533,4
26.95888692672312,575,113
27.838028682470206,626,462
29.104295010431233,140,120
30.501215809292553,266,34
31.43829063593157,100,247
33.47308509436754,127,365
34.11323631031668,84,247
35.69537913914023,675,324
36.79372836890311,641,36
37.62595629847317,180,87
37.822057270694295,114,7
39.80095759720751,317,6
42.59503986830992,383,10
43.259346081528776,179,411
43.52415856080092,612,85
46.61336564667671,317,149
46.77075704285594,256,297
46.93057458126814,231,650
48.0894191617249,253,97
48.18663889292941,433,455
48.48474641918181,187,235
48.490241323061156,224,341
50.49704349791613,104,262
52.666538030390235,126,336
53.91450049652566,562,235
54.711465849962025,151,233
54.924336875606635,64,497
56.1486490686861,260,378
56.6634172346175,112,94
58.752252864852046,78,209
60.887655441528345,104,729
61.25988290390195,126,278
61.48977994765083,145,184
62.842284193605856,132,78
63.00254109962005,115,255
64.11024670911894,81,149
64.27884870401584,313,144
64.61177518254361,341,371
65.01949811931834,123,166
66.66372724876736,106,233
67.38670389394582,151,79
68.08546464148682,104,50
68.37032000788285,54,918
68.80296529676232,618,26
69.14845699227224,632,49
69.1512248827491,129,197
70.31003571483033,251,159
70.36044509604838,150,50
71.63484861416309,90,411
72.14450644058758,299,175
74.3922221147166,153,305
76.64569599506541,101,693
78.67394794672674,101,139
79.98097891176978,129,303
82.67428508917223,134,93
84.91130046749497,100,89
86.0203902809603,491,61
86.92172583798478,87,38
87.07965016382605,154,319
87.35333974660979,74,400
87.41237741882159,120,83
87.57655541525338,233,19
87.6010101592451,605,40
88.99323314731922,253,252
89.54643841905278,135,159
89.73490748254028,210,409
92.78206950819607,104,59
93.22223860600342,414,495
93.8418450500007,151,218
94.25643724687076,126,276
94.31399587380582,116,79
94.59118655901237,197,195
95.98688750509403,386,10
96.32031698199671,456,35
96.45141105640872,86,221
97.89760739734811,64,18
98.28991122368369,112,86
98.53529560163591,203,119
99.96437277224756,65,191
100.58104664952343,574,6
101.0405369440436,313,144
102.0009911064849,129,97
104.16804736085192,169,41
104.53338175276245,218,271
104.53496279175353,158,147
106.11583352463609,179,282
106.58179058800486,79,94
106.59955010137617,268,220
107.23390856199032,67,26
107.46914915884497,71,843
108.39672404249252,112,357
109.32658362361676,557,151
111.39964284202148,131,535
113.56945008528987,325,20
113.57341111948917,208,213
114.48362793227119,583,10
118.05984776273687,112,112
118.33654092096675,98,290
118.62932196935755,150,382
119.11933733040253,49,83
119.54789588799143,465,63
119.57594356450622,100,122
121.50044176935462,72,16
122.02330531472874,159,220
122.03821589604878,193,306
127.30456935616866,355,137
127.83605928286507,107,418
127.85137291990557,153,155
129.05701151652445,91,625
129.86766563638156,123,341
129.89248238580905,658,38
133.3075618431605,232,529
134.23575549275986,107,46
134.9728202982484,337,289
135.08345968833083,60,245
135.32099110491018,86,702
136.91939730426603,109,356
137.40419614483199,233,303
137.51192185879825,111,32
141.07743758434188,782,46
142.37059487087882,416,196
144.02334383376672,670,17
145.21824925921126,91,35
145.2741080656929,112,208
145.95797020895728,86,509
146.81736654216093,393,3
147.40394691764007,295,85
151.38615238914937,241,394
151.39470906098285,84,95
151.81642658571954,663,63
152.16452329758488,147,622
153.35474431938584,204,211
154.25605162836533,757,33
155.08065859611057,51,87
155.56939185006215,104,12
156.39770102232018,593,11
156.79012205525012,146,157
158.32628163758443,118,232
159.52684752900356,70,794
164.09598435501934,99,68
164.68256058831398,106,131
166.74516327477258,115,45
167.10729822583178,323,401
167.65685973228017,115,737
167.97989467135184,158,198
168.84672193825745,81,396
169.87503381700583,109,173
170.22916277099625,113,75
172.6255831345678,127,164
173.99403220119046,173,452
175.9796429643159,285,12
176.1100806997566,587,71
176.90663982572676,85,66
178.07038456489664,258,261
179.2467176532928,102,48
181.59581435130266,124,242
185.2315017865313,222,12
186.42145310379803,62,671
186.72804100132493,187,469
187.67391045639022,126,146
188.53815117046526,545,303
188.64615606212462,333,133
189.74361187163205,130,221
192.01224578299374,90,31
192.61206121340476,112,339
192.9193998937139,137,66
193.5667225434768,630,378
194.36352434003004,208,352
194.7410572033693,75,218
196.85203656000846,94,11
197.17754796847726,496,35
197.6901915408263,104,74
199.50285374998515,326,746
201.8382995984526,84,75
203.21000446106237,175,238
203.41903949157935,242,102
203.982871341212,133,98
205.40484139728173,69,19
205.43714331129348,204,276
205.92849551893488,622,34
206.33735683164278,128,69
207.74068412489868,119,264
209.00031901694504,453,136
209.20286116680958,294,54
209.83163116872385,713,159
212.8794048343057,101,461
213.42678069450227,91,202
216.02373501027006,100,422
217.1748008893754,105,54
217.92693933977702,667,79
218.07669396599127,518,307
218.18492116191604,131,262
220.95570777161834,151,323
224.39128033572803,125,288
228.0150860970615,89,3
228.250370274274,352,325
228.55808048021487,182,191
228.69906044252326,188,121
229.73786765135426,96,690
230.61259430688142,299,402
232.71684167921532,157,411
232.841655854911,620,18
233.04652292805548,108,518
233.1804955982432,699,6
235.22346630921135,671,25
235.65161145713822,136,116
235.96131285275717,132,204
236.54410578219597,620,134
237.4017625534057,154,324
237.7234041669856,583,10
238.4333857840739,87,83
240.13913779038532,397,666
241.35791992061516,158,178
242.43717293127733,220,9
243.84346230319917,239,192
244.73699428360825,55,843
244.75446430604975,90,414
244.78174672444402,183,608
245.4930669547515,299,402
246.8844792226683,116,300
247.14677214038863,188,66
247.9401741168272,52,100
249.41732259220154,184,113
250.64247160217974,143,426
251.9180687446124,67,424
252.13707202013757,111,55
254.12865738375615,248,239
254.61243436239064,442,22
254.85046771512992,135,113
255.79990180178189,81,681
256.68940347789123,157,109
257.19203611273264,191,92
258.24022668640157,102,188
258.4755970536738,290,263
260.73190135095126,115,84
261.29894342018804,191,273
262.49693458801465,77,119
262.70517660482216,312,288
266.19390164760557,117,114
267.1611311833623,139,233
268.42490422001595,574,6
271.45170223272584,410,13
273.04125674008174,99,39
273.42412964425887,205,262
273.6188562852008,202,282
273.97596218788027,181,151
274.0904308622178,144,278
274.44807510004244,373,376
274.54973812484263,631,3
280.06003532486346,200,229
281.83481878952597,90,62
281.90010043414543,283,182
282.8474556895268,777,442
283.38248867027505,225,12
283.39226223947946,670,17
283.540200650268,131,197
286.2430082361222,78,394
286.32753033627233,148,259
286.419940455939,139,209
286.93058446754276,114,251
289.2157764399071,118,77
289.374358671579,163,267
290.2269889015085,162,680
290.82006914601186,116,144
291.82249804221686,239,333
292.9886036554414,142,33
293.3074529913434,559,16
294.2835862553492,91,553
294.80163303957266,95,227
295.0171162013864,93,198
295.1384112718225,153,262
295.5142416798195,446,257
295.82583925548573,148,384
295.92128788225324,670,19
296.3995323549481,128,419
296.9170510387644,95,156
297.0625933999068,76,611
298.4538065847824,257,35
298.7032804696865,106,89
299.42898524700007,301,203
299.675398391964,170,215
300.9107563043517,213,319
301.02371828408997,281,84
301.11706403402695,565,75
302.8317165200378,136,292
303.33163022332934,176,268
304.05644204321857,92,225
304.6596646727587,182,77
304.76638930872195,178,312
305.4848767819932,138,127
305.6770759751943,64,61
305.8530794784821,602,46
306.9074475829497,194,117
307.1514796464322,173,174
308.3655094567858,113,70
308.6735141614468,318,262
320.6327652820463,98,104
320.76198314572326,363,217
322.2994168046975,184,280
327.82079882423085,253,173
328.2771977980725,114,75
331.31835867824276,107,41
332.29032336223713,90,251
334.45740153823715,99,39
337.4597358560297,113,260
337.7695134923703,287,23
337.96606139951734,73,978
338.91857826288305,112,407
339.3508646519507,466,27
339.82665014780514,147,150
341.4784624492246,138,172
344.3167193242406,223,206
344.7805689063851,119,173
346.4239809388223,184,218
346.7883527803879,84,62
349.55485996957594,302,173
352.10777987039694,630,140
353.2847107648724,387,82
353.4471898440443,269,260
354.24730063622115,114,81
354.57022021318295,107,79
356.9408492755997,186,689
358.16649110630647,114,49
361.7679035972739,263,255
361.9571222969223,123,316
362.88297096627105,618,200
363.52285896281296,101,64
363.67950434974597,153,48
364.8758761687551,163,185
367.844942146264,255,22
368.2129822440138,271,223
370.1476190375951,85,203
370.7257852850295,119,290
372.15157029253413,595,7
373.7657763280633,75,287
374.38955387257664,161,189
374.77067822817946,115,59
378.90616023688295,140,201
380.0381055734233,132,171
380.0928244123337,264,197
380.1359434027886,197,57
380.283846081055,197,282
382.84407014214645,133,77
384.16845736776787,133,541
386.5123072889466,53,56
390.32789070182605,376,282
390.79537524167114,288,239
391.523970720088,187,687
393.22617208421343,69,20
394.94198674464303,228,73
398.132972247029,51,87
398.49458111818524,251,417
401.5552318508046,103,64
402.4556518986395,154,3
402.72913963611103,78,204
402.74203090622467,85,165
403.0938144682745,184,635
404.54990912223946,185,620
405.1416079949796,515,103
405.56810263170917,662,201
406.5306691360345,122,255
408.30471519268866,106,703
409.52611171226414,132,72
410.1995644593616,91,614
410.25002899272556,186,291
410.44011041278395,71,107
412.25019290151005,116,337
413.1551391657393,178,153
413.85913457899926,108,353
414.87436560310545,163,59
416.7079031035559,564,137
417.17107688424136,339,6
417.5260719268961,119,195
420.1836217938973,143,109
420.90445908545684,183,250
421.5106394357759,186,99
421.5975010891355,96,117
422.41764968045834,273,203
422.5382178933607,82,513
423.4961112086915,326,292
425.0725997097943,138,113
425.1199531510011,106,7
425.2640002403268,95,261
425.3380857931608,116,106
426.3817740046854,245,92
426.52102594899986,140,211
426.86331275753673,158,171
428.38712059431066,208,64
429.95865120627155,345,278
432.52589262066834,521,141
433.9287810562146,114,7
435.39994226194773,193,390
435.5056168508515,82,87
437.7332462856672,583,4
437.9874690739509,168,112
439.5156228290815,615,527
439.71089096634347,105,351
439.9068538742988,77,224
440.3521808875411,329,307
441.6165490519931,138,270
442.30505477505193,325,305
443.8508522010185,110,299
444.4939987029909,237,148
444.5008294967236,212,248
447.1804935642491,71,107
447.5501646782508,114,289
449.4501365161992,239,220
449.79517384909667,532,347
450.6351715864253,164,431
450.91197895911773,622,29
451.9209836714624,62,369
452.93322063037493,608,43
453.56392283294343,487,13
453.78829244935105,212,21
455.0391632203856,97,159
456.2606687221081,67,189
456.81989821491123,140,112
458.0952829182778,130,275
458.27498122985253,115,90
458.39229908073423,52,105
458.6022086373554,60,570
458.63233732610763,92,171
459.82616629964974,201,236
463.4259648992744,129,130
467.86958711291015,516,75
468.1275447503848,102,813
468.7321325381964,634,19
470.9059197974362,516,48
471.6145928460498,215,382
473.08654873972966,99,23
473.91585655412837,349,31
474.36557818930083,391,26
475.9687959029637,87,27
476.3844424399006,140,239
477.358799419628,457,33
478.4474181306787,101,28
478.59601441965185,275,130
479.5908283361322,105,8
481.32613711016495,92,340
482.4539022382681,183,170
484.1900622607722,119,140
484.57878742342535,176,217
485.4997572382978,50,175
486.22084906035224,146,262
487.58750034930125,94,14
487.6084218670353,386,165
487.626725418262,145,130
490.824524963448,228,336
491.62682174401766,273,509
494.111047502436,141,300
494.2663215020143,108,514
495.7856950467926,729,151
496.96953565551985,127,398
497.01427232754185,649,9
497.97471804258385,87,116
498.08790370490505,94,386
498.29496393357283,109,134
498.29694487338855,185,232
500.51365594826154,133,72
503.3425608316418,149,229
504.1446439931589,398,504
