arrived_at,num_prefill_tokens,num_decode_tokens
1.2209552001393995,832,2990
1.5423742270945477,562,10376
2.3368466814730766,114,5326
3.6280394738821027,123,2008
4.393626939365374,235,635
5.899748902182228,136,7336
6.2512266150685765,1298,684
7.274446330205856,1346,1143
8.301283268780475,850,585
9.437657497971308,1139,999
9.537343260882437,1121,2196
11.67891438349156,1039,910
12.601192183417306,1272,708
13.20001466050318,879,2201
13.629358118096503,91,4083
14.691984716320732,768,2173
15.757558123734361,898,3967
16.595423060049956,914,412
17.318845499162336,885,707
17.802653453422945,983,2743
18.20058038573376,1195,1157
19.4484305981061,1187,1215
19.49438501987177,949,642
20.21916519504234,1069,3643
20.878521511852654,859,425
21.828221257823422,887,7028
22.875911856969413,1313,1715
23.578717976948674,1268,1856
25.104813820775654,885,707
25.584927232737506,1292,3981
26.771534354355165,183,11814
27.595296276677328,836,3327
28.219467223854874,854,537
28.366542953020716,162,2727
29.850718197905625,981,723
31.946279901232437,641,3119
32.44450956114658,962,915
32.64311892060069,319,1865
34.96002423500754,600,4051
35.078067782141964,1298,1041
35.19793093595111,889,804
36.06706437129368,1137,600
36.139979169697064,1099,10911
36.36355981438636,136,11844
36.367680992295874,915,501
37.872782623437104,895,1138
39.499903522792685,1055,2752
40.43587537239425,1150,6428
41.033599387471526,871,4352
41.193252656704985,1124,1605
42.11148680151459,897,4090
42.49756292596314,770,8198
44.06418964863905,1071,1406
45.66574158114628,1030,731
45.94491217792648,1318,3713
46.11733496073814,1117,2292
47.13171314520441,1015,1341
47.25190582471505,1014,7526
48.08268503183921,956,1621
48.209136528011896,1276,1092
48.45883138690772,462,5372
48.76462358948877,1022,729
49.99779543657554,122,4703
50.54002792045938,672,6043
51.06409848111513,1297,1353
51.27774000591215,68,2680
51.60222397257176,867,938
51.8613427442042,1288,755
51.863418662061854,184,4289
52.732526786122776,923,759
52.770333822036314,114,5725
53.72613646062234,1303,1272
54.108379830440704,1223,1595
55.79416658603747,933,1351
57.48427199629908,321,1775
59.00546096004508,113,5159
59.985734183827354,114,2076
62.00571381687919,1085,2828
63.68347535062124,117,4333
64.51529271072023,919,911
65.19129437848859,73,2633
65.30973762286955,1215,914
65.51500480995736,270,13386
65.55928306411622,1135,13134
65.68241656144006,1137,1185
65.70075761943386,85,1489
66.74492486048943,150,10301
67.15982881428961,901,6073
67.30118061190524,924,484
69.58655213114709,875,6514
69.91667895450259,866,1380
70.38138378750055,986,1275
70.6923279351531,591,2627
70.7354969053544,1282,1037
70.9433899192593,1235,1081
71.99016562882055,1259,1450
72.24023773649756,1055,1707
72.33855829230656,93,7581
73.42320554801111,908,1459
73.71743341776279,890,301
73.90147170122695,1324,1348
74.97327957918569,596,5008
75.4357849871426,1148,1678
75.78040270803272,1281,1001
76.50074332986371,576,4516
78.12603552063896,99,13015
78.40003631457186,763,7894
78.40122209381518,1276,1407
79.5868751434771,85,2305
79.93634294100367,136,2192
79.94966257603214,901,8701
80.42543142149275,1045,2335
80.60186186913374,854,3718
81.29754303186941,832,2990
81.99493771771259,97,7059
83.54973213151612,1088,5308
85.17708756396742,851,795
85.18005833961689,1362,1583
85.86272094920342,946,2503
88.54488582205268,1105,1345
88.7524056907251,925,1794
88.9719914770182,135,2443
89.33950299780193,917,6448
89.66092191599361,917,589
89.6819576733797,195,1926
91.125331327016,1314,1199
91.5174789860466,147,7186
91.52866192203663,129,2046
95.47842701712653,718,6329
95.87704446214885,865,1340
95.88852968992923,961,687
96.79275863739339,254,8051
97.40074922728623,884,10147
97.41936178935686,1275,3609
99.98067138237045,78,9426
100.67681661956998,1264,2315
101.22961522368637,1059,692
101.31259476624818,1088,1138
101.49074332868268,179,11846
102.68954797819957,1273,643
103.05314710862403,720,2670
103.13394139409874,1230,2710
105.80807818825647,967,4332
106.77794615315918,1023,1319
108.01750787532511,900,1170
108.91368694440852,70,7628
108.95558104926977,1159,3852
109.46847765671805,147,14906
110.11302490662078,900,781
110.55296018823014,389,6229
113.53961429186212,898,507
113.54603179573724,905,2627
113.86231993928975,720,2670
114.12339247318876,1383,9373
115.01605823953948,1012,10515
115.69203872127409,696,3002
116.31049394708302,1287,729
116.67704388754672,1302,3945
117.29827576674025,908,1961
117.5925915414377,80,1768
118.74471122818842,133,14687
119.64513564675278,1022,1494
123.0719882662646,738,6673
123.51192044123557,1275,1812
125.05887245607951,1011,860
125.33047366937392,176,6654
125.7426447992102,1207,1383
125.98492100351396,1117,1999
126.63504145369316,1010,768
127.40627536275446,1072,821
127.67187207824729,213,7855
129.46918735092592,925,874
130.49552415089292,136,2140
131.984732223237,1232,8783
132.0825605248175,924,484
132.67997986929512,1033,577
133.55278842367255,1317,2221
134.43503823996966,822,4712
136.19686076347705,875,3180
138.92362633989853,892,1124
139.81608982784857,942,642
140.04603075099374,1195,1174
140.7554328422927,1111,1231
141.40361337784896,906,1177
141.48461704659348,1082,3204
142.30770890372406,753,2488
144.00918433724533,245,13632
144.4590459100536,1286,1210
144.68954992028543,1284,5269
145.1750419076076,844,568
145.77264325502253,921,1372
146.05579290252697,1060,1406
147.63902742000633,1151,951
147.8831609763579,959,464
148.2676436556197,368,4106
149.62714031248882,847,801
151.3787246988394,870,3428
152.4075033457967,1139,817
152.56427961868445,158,3184
152.9871535059089,151,2859
154.0536310479612,846,2139
154.07785748347,1270,1768
154.44637163920106,1281,1411
154.75301762373198,1041,4596
155.8055130936739,844,730
156.7502392627087,842,351
156.90214587510712,141,7925
157.3737233765428,1117,1999
159.65955362572922,673,11983
160.07008552087663,819,248
162.01780125770247,1057,4487
162.8811006670315,782,7189
163.4452045048327,1066,772
163.5575204744934,902,1491
163.63869087143698,911,485
165.7167808287137,834,2415
168.29346025179598,204,3111
171.0113145727961,1213,1799
171.18777770570546,1308,903
171.4185603601611,89,1830
171.5242953318924,876,2964
172.30340073851565,1282,780
172.959445730161,1022,506
174.53763125941143,849,1044
174.63124189118318,82,3451
174.7848921960415,863,463
174.88537169868232,885,4329
176.41759973190844,734,5716
176.73870859285358,132,7758
176.9709846395678,858,524
177.4080793366469,938,3916
178.0513219150542,1117,1581
178.29255312523912,133,9462
178.82503933805535,512,4158
180.10435334278893,85,3047
181.0184399404613,130,6247
181.82787969845793,905,5921
182.88259672739932,77,8694
183.55274571270613,1153,4951
183.56584822953724,1274,1462
183.58631004333293,921,1394
184.11980021606354,1259,1450
185.16335941700112,94,3368
185.36007910529136,498,2886
185.9551305876203,1153,670
187.06299194415107,1280,523
187.98185370163472,232,1030
188.9385515584592,1350,591
189.1028040151031,842,351
190.59649303781703,471,1222
190.9593257717929,1105,799
191.13785078634734,133,9462
191.84992635133634,875,671
192.51705260841834,163,3167
192.89402708454938,888,1065
193.68017001480106,977,12747
193.85669779025525,512,2772
195.54892601321336,1043,2969
195.97420756514092,991,3138
196.87270094101086,899,7241
197.02888245361646,884,578
199.64542623570404,851,889
200.37084838752153,934,1030
201.3186781650118,1003,912
203.58877667454422,1288,561
204.78094255506113,371,6990
205.06809723319398,1001,591
205.21414221390043,1013,2374
205.48197164091005,945,3167
205.56782314666316,907,4597
205.83605632503165,1281,1168
205.91230359363178,898,442
210.04502649364738,1385,16234
211.37611409214426,1149,804
211.42507532560884,1345,1390
212.13559176714486,260,10398
212.53686650270606,71,4391
212.54419667960937,902,1587
212.65515048770075,986,924
214.6822561770914,176,8558
214.74564775220404,833,4512
