arrived_at,num_prefill_tokens,num_decode_tokens
4.883820800557598,62,671
9.347386725892306,103,200
17.574507757461497,197,25
25.004906460274302,66,540
33.2051330751219,56,108
38.14937304352975,91,246
50.40476873366922,593,206
54.51743247238601,290,303
63.03023249493744,234,248
69.27538199664934,397,611
72.80232154293503,211,477
77.97754007948708,533,4
83.51408604741061,626,462
91.50364742787764,266,34
100.4192552831026,127,365
107.08613741742066,675,324
112.8778688954195,180,87
119.4028727916225,317,6
129.77803824458633,179,411
139.84009694003015,317,149
140.79172374380445,231,650
144.55991667878826,433,455
145.4707239691835,224,341
157.99961409117074,126,336
164.1343975498861,151,233
168.44594720605835,260,378
176.2567585945562,78,209
183.779648711706,126,278
188.52685258081763,132,78
192.33074012735685,81,149
193.83532554763087,341,371
199.9911817463021,106,233
204.25639392446053,104,50
206.40889589028703,618,26
207.4536746482474,129,197
211.08133528814523,150,50
216.4335193217628,299,175
229.9370879851963,101,693
239.94293673530944,129,303
254.7339014024849,100,89
260.7651775139544,87,38
262.06001923982944,74,400
262.72966624576026,233,19
266.97969944195773,253,252
269.2047224476209,210,409
279.66671581801035,414,495
282.7693117406124,126,276
283.7735596770372,197,195
288.96095094599025,456,35
293.69282219204445,64,18
295.6058868049078,203,119
301.7431399485704,574,6
306.00297331945484,129,97
313.60014525828745,218,271
318.3475005739084,179,282
319.79865030412856,268,220
322.40744747653497,71,843
327.97975087085035,557,151
340.7083502558697,325,20
343.4508837968137,583,10
355.0096227629004,98,290
357.3580119912077,49,83
358.7278306935188,100,122
366.0699159441864,159,220
381.9137080685061,355,137
383.5541187597169,153,155
389.6029969091449,123,341
399.9226855294818,232,529
404.9184608947455,337,289
405.96297331473073,86,702
412.2125884344961,233,303
423.2323127530259,782,46
432.0700315013004,670,17
435.8223241970791,112,208
440.4520996264831,393,3
454.1584571674485,241,394
455.449279757159,663,63
460.0642329581579,204,211
465.24197578833207,51,87
469.193103066961,593,11
474.9788449127537,118,232
492.2879530650584,99,68
500.2354898243181,115,45
502.9705791968408,115,737
506.5401658147727,81,396
510.6874883129892,113,75
521.9820966035717,173,452
528.33024209927,587,71
534.2111536946902,258,261
544.7874430539082,124,242
559.2643593113943,62,671
563.0217313691708,126,146
565.9384681863739,333,133
576.0367373489813,90,31
578.7581996811417,137,66
583.0905730200901,208,352
590.5561096800253,94,11
593.0705746224788,104,74
