arrived_at,num_prefill_tokens,num_decode_tokens
1.9535283202230391,832,2990
3.7389546903569233,114,5326
7.0298031029846,235,635
10.001962584109725,1298,684
13.28205323004876,850,585
15.2597492174119,1121,2196
20.16190749346769,1272,708
21.806972988954403,91,4083
25.212092997974977,898,3967
27.71015279865973,885,707
29.12092861717401,1195,1157
31.191016031794828,949,642
33.40563441896425,859,425
36.60145897115107,1313,1715
40.16770211324105,885,707
42.834454966968266,183,11814
45.15114755816779,854,537
47.76114911664899,981,723
51.91121529783452,962,915
55.93603877601204,600,4051
56.31668949752175,889,804
57.82396667151527,1099,10911
58.18828958767337,915,501
63.19984563646827,1055,2752
65.6537590199544,871,4352
67.37837888242329,897,4090
70.50270343782242,1071,1406
73.5118594846823,1318,3713
75.41074103232698,1015,1341
76.93229605094267,956,1621
77.53413021905227,462,5372
79.99647269852078,122,4703
81.70255756978413,1297,1353
82.56355835611474,867,938
82.98146985929888,184,4289
84.43253411525802,114,5725
86.57340772870505,1223,1595
91.97483519407844,321,1775
95.97717469412368,114,2076
101.8935605609939,117,4333
104.30607100558169,73,2633
104.82400769593168,270,13386
105.091866498304,1137,1185
106.79187977678298,150,10301
107.68188897904824,924,484
111.866686327204,866,1380
113.10772469624484,591,2627
113.50942387081476,1235,1081
115.58438037839596,1055,1707
117.47712887681764,908,1459
118.24235472196298,1324,1348
120.697255979428,1148,1678
122.40118932778178,576,4516
125.44005810331484,763,7894
127.3390002295632,85,2305
127.91946012165128,901,8701
128.96297899061386,854,3718
131.19190034834003,97,7059
136.28334010234775,851,795
137.38035351872534,946,2503
142.00384910516,925,1794
142.94320479648297,917,6448
143.49113227740736,195,1926
146.42796637767438,147,7186
152.76548322740229,718,6329
153.4216475038866,961,687
155.8411987636578,884,10147
159.96907421179253,78,9426
161.96738435789803,1059,692
162.38518932589216,179,11846
164.8850353737983,720,2670
169.2929251012102,967,4332
172.82801260052,900,1170
174.32892967883143,1159,3852
176.18083985059303,900,781
181.6633828669792,898,507
182.1797119028633,720,2670
184.0256931832629,1012,10515
186.09679031533256,1287,729
187.67724122678413,908,1961
189.99153796510123,133,14687
196.9151812260231,738,6673
200.09419592972696,1011,860
201.1882316787361,1207,1383
202.6160663259088,1010,768
204.27499532519536,213,7855
208.7928386414284,136,2140
211.33209683970776,924,484
213.68446147787583,1317,2221
217.91497722156305,875,3180
223.7057437245575,942,642
225.2086925476681,1111,1231
226.37538727454933,1082,3204
230.41469493959235,245,13632
231.5032798724565,1284,5269
233.2362292080359,921,1372
236.22244387201,1151,951
237.22822984899145,368,4106
242.2059595181429,870,3428
244.10284738989503,158,3184
246.48580967673783,846,2139
247.11419462272164,1281,1411
249.2888209498782,844,730
251.0434334001713,141,7925
255.45528580116664,673,11983
259.22848201232387,1057,4487
261.5123272077322,1066,772
261.82190539429905,911,485
269.2695364028734,204,3111
273.9004443291286,1308,903
274.43887253102776,876,2964
276.7351131682575,1022,506
279.40998702589303,82,3451
279.8165947178917,885,4329
282.7819337485657,132,7758
283.852926938635,938,3916
285.2680850003826,133,9462
288.16696534846227,85,3047
290.9246075175327,905,5921
293.6843931403298,1153,4951
293.7380960693327,921,1394
296.2613750672018,94,3368
297.5282089401925,1153,670
300.7709659226155,232,1030
302.5644864241649,842,351
305.5349212348686,1105,799
306.9598821621381,875,671
308.63044333527904,888,1065
310.17071646440843,512,2772
313.5587321042255,991,3138
315.2462119257864,884,578
320.5933574200345,934,1030
325.7420426792708,1288,561
328.10895557311045,1001,591
328.7711546254562,945,3167
329.33769012005075,1281,1168
336.072042389836,1385,16234
338.28012052097426,1345,1390
340.05898640432986,71,4391
340.2482407803214,986,924
343.59303640352664,833,4512
344.31670136105123,1200,6450
347.2492304058947,915,620
348.9840829752142,961,2008
351.58632438652967,876,859
353.140303506419,888,528
354.02053944166363,842,4095
354.61709001578345,898,2346
355.10554545870383,1184,1381
356.3004612465172,1018,1920
358.14456790173875,943,2796
359.3147822963999,1037,657
361.0929075652219,1272,1301
361.3404768408322,204,3111
363.9979562679951,70,3543
365.5915976073103,535,13202
366.5818521383917,921,3353
367.0236953741783,372,1051
368.58177557571855,904,2043
370.408216993736,880,2212
384.91437977486777,907,1385
393.38495858907686,1332,3006
397.5820304138911,910,3462
401.3488818458845,926,2529
405.3234161908443,746,3169
406.7022939154595,1278,759
407.791980177366,1312,1540
413.18006318908846,827,3632
415.70877712658654,1165,1576
419.4658319634909,848,341
423.9416529178466,921,896
425.0967607634651,211,4902
428.3290191307194,992,6978
434.12148431672847,308,4195
435.459565159525,997,10023
436.41540521969495,935,1111
441.4139305755166,1087,4803
444.1771428451139,123,10410
446.5818843510407,1413,2240
449.2674646470917,1173,777
454.68739228425926,1297,3091
456.1113892948002,907,4597
456.34061529726574,975,3626
461.0021488413212,1278,1273
468.3934688421909,1587,1313
469.8287648641053,1276,1521
473.9303840935714,151,2017
478.193497341822,923,703
482.9467822783671,938,3916
483.2904370874694,1286,1279
485.4598909466871,914,3444
486.6817231580508,143,2471
489.9656582312261,1142,2154
492.2394773512337,886,867
492.5281324953405,1291,1143
495.78616699888687,1312,4172
497.8492387237263,858,509
500.60529226108935,961,921
504.2203461526765,1261,727
505.8127673229308,519,6776
506.9011796165498,1164,1352
508.1953334504296,1097,848
510.1439437812012,191,12723
510.4057029517928,363,4140
511.82523113879967,110,8909
514.0645447131727,885,552
519.031071144802,817,2035
522.4799307143372,576,7421
525.2798955428005,1241,1655
527.4187473948978,371,6990
527.8882246491585,815,10746
529.9398588623917,331,2655
532.6210226412221,880,7443
533.4009953960682,849,673
537.0601976139008,80,5802
539.7542086189159,886,777
541.0943747509413,1107,1063
543.5198647564499,843,213
544.5459509392213,1072,821
547.5128024665297,1047,873
549.7143395019333,934,467
550.070758896881,1226,2577
550.358804791329,456,3577
556.1111578791291,140,9490
561.7530537004616,917,454
565.0871037569232,1276,662
567.7038584876752,93,2405
569.2386938271607,1272,1371
571.6613309278804,120,7629
574.1369017568142,780,3114
575.5089940033583,911,2795
578.9446826859214,1067,3306
581.4945449081101,965,1754
583.4650188724223,125,10321
585.1301062404419,1054,506
588.9894299561372,1141,1296
592.9332570029228,858,509
594.9428340561507,78,2263
596.4171267930498,1039,2225
597.7054844458856,1009,1357
597.9563338480659,1216,934
